gene.id	log.fc	test.stat	p.value	q.value
YLR029C	-1.02533434213013	65.9889546551122	4.53457043396458e-16	1.87868307630416e-14
YPL201C	5.64311077574066	65.8651235284774	4.82860946417274e-16	1.98894052264132e-14
YML120C	1.70690520415806	65.4374629787628	5.99876410071454e-16	2.45673522883286e-14
YDL082W	-1.72198430376889	65.2164129998309	6.71082641124762e-16	2.73264851466003e-14
YMR105C	2.76509814048356	65.1001986325618	7.11848977016221e-16	2.88217943762363e-14
YDL204W	4.15384919958688	64.9455520344074	7.69964341356275e-16	3.09986773813831e-14
YOR128C	-1.65784371580885	64.7595757493669	8.46174020850172e-16	3.38754835538108e-14
YBR298C	3.38199420043218	64.7361629266902	8.56288242686775e-16	3.40888827786925e-14
YLR044C	-1.17851491355982	64.6187665594217	9.08856009559305e-16	3.59805995784423e-14
YDR077W	2.83415410976831	64.2058081414036	1.12077859828785e-15	4.4125239179001e-14
YDR012W	-0.955756582783997	63.869176997469	1.32961744151048e-15	5.2059636748372e-14
YLR312C	4.6405721357029	63.636774246234	1.49610067377778e-15	5.79442699830543e-14
YDL222C	4.64056670704825	63.6366758963596	1.49617536863345e-15	5.79442699830543e-14
YMR297W	1.43927941941103	63.3746961547255	1.70899290775364e-15	6.58285592467698e-14
YPL054W	5.29103088215153	63.3048799429539	1.77065107186528e-15	6.78368792371614e-14
YOR120W	3.38130723066919	63.2750026812797	1.7977125517723e-15	6.85053456894621e-14
YIL124W	2.14038572413643	63.1508967282899	1.91462317175306e-15	7.25723655420866e-14
YML026C	-1.28704821353893	62.9682774668862	2.1006268324281e-15	7.92014116819188e-14
YLL028W	-2.90492846268287	62.5878312413639	2.54823093639888e-15	9.51096850600972e-14
YGL009C	-1.0285839212975	62.5870444021271	2.54924920663466e-15	9.51096850600972e-14
YER054C	4.1103166640662	62.3248832059402	2.91222057326008e-15	1.08085853151309e-13
YMR174C	5.44834664899754	62.1839359315998	3.12829393990804e-15	1.15034664906784e-13
YGL037C	2.33938606820759	62.1817726011586	3.1317323873023e-15	1.15034664906784e-13
YIR016W	4.61103490965066	62.1244936920599	3.22416117200781e-15	1.17822423137065e-13
YMR250W	3.90862976826729	61.7591362772638	3.88146395960356e-15	1.40642424723423e-13
YBR046C	5.2588606143647	61.7557757274365	3.88809397565455e-15	1.40642424723423e-13
YNL195C	7.14725278311202	61.7366568666528	3.92602967564476e-15	1.41297411457801e-13
YPR160W	3.22130768988502	61.3420917718031	4.79714236345806e-15	1.71781087849257e-13
YLR342W	-1.07480701841871	61.2680552404138	4.9809679577031e-15	1.77471888332961e-13
YPL222W	3.10350956941745	60.9175041413171	5.95172896417055e-15	2.1100507760537e-13
YBR157C	4.16915334438822	60.2458099559248	8.37208621239281e-15	2.93947639127442e-13
YAL061W	4.16913287311237	60.2454178957817	8.37375396335541e-15	2.93947639127442e-13
YBR181C	-1.12865904298925	59.7712402138283	1.06549033918159e-14	3.72190399853333e-13
YML063W	-1.17010918202548	59.7599855952636	1.07160085403911e-14	3.72498911506475e-13
YHR068W	-2.77162226643866	59.5840767700241	1.1717944901244e-14	4.0534988041876e-13
YML116W	-2.1044215722678	59.0255350581293	1.55639060425573e-14	5.35789345213831e-13
YBL045C	1.24281405255457	58.5404642766313	1.9915257331324e-14	6.82289056456803e-13
YDR450W	-1.30124960866687	58.1453452710683	2.43449542889596e-14	8.30058106522133e-13
YJR109C	1.00847057671285	58.0396419816667	2.56888518879467e-14	8.71708374064325e-13
YLL019C	2.44501133333093	57.5516073106585	3.29226770276953e-14	1.11188149999695e-12
YLR441C	-0.950843686260122	57.5391124212475	3.31324849747749e-14	1.11368909401059e-12
YDR148C	1.77546421582866	57.2046576121042	3.92739987651005e-14	1.31392730140895e-12
YPL092W	2.34991770592925	57.1208010911648	4.0984779760474e-14	1.3647548624913e-12
