log.fc	test.stat	p.value	q.value	probe.id	gene.id
-3.09993273541062	-24.1818463346337	1.20493866586679e-08	7.16844798881583e-07	1779498_at	YLR178C
-1.5938151819233	-24.1765461786747	1.20698611817543e-08	7.16844798881583e-07	1780014_at	YFR049W
-1.66202377077493	-24.1273108456363	1.2261941188669e-08	7.24316180052835e-07	1778263_at	YIL087C
-2.58643996211339	-24.1084404958181	1.23364699217142e-08	7.24800770454259e-07	1772292_at	YFL054C
2.10037095336868	23.9113107902162	1.31463024676332e-08	7.68250231905326e-07	1771458_at	YGR208W
-2.16588206440612	-23.8821411153201	1.32711447160498e-08	7.69547296624368e-07	1774057_at	YLR345W
1.59789497272355	23.8732789892101	1.33093373958643e-08	7.69547296624368e-07	1773963_at	YCR087C-A
-1.60591307516091	-23.7911734635164	1.36691296598127e-08	7.86190783802281e-07	1770707_at	YGR205W
2.27126845517237	23.7535358701525	1.38377113384677e-08	7.91719945061652e-07	1776766_at	YDL039C
-1.51897653841453	-23.6536106168582	1.42967577503614e-08	8.10306254036338e-07	1774126_at	YDR148C
-1.86746908787143	-23.6505977007024	1.43108626490678e-08	8.10306254036338e-07	1778029_at	YBR222C
1.56937247207014	23.5710943532378	1.46887779263839e-08	8.273031737356e-07	1775736_at	YMR300C
-1.84174519242326	-23.5332361267481	1.48726750312332e-08	8.273031737356e-07	1775629_at	YPL109C
1.6078203070436	23.5271670426521	1.49023961556285e-08	8.273031737356e-07	1769937_at	YBR084W
2.32410829723779	23.5248285775424	1.49138657783596e-08	8.273031737356e-07	1769406_at	YDR144C
2.23412784825949	23.4517261581201	1.52774775809582e-08	8.431933081046e-07	1769622_at	YJL047C-A
-1.53651591451629	-23.3916427453866	1.55838157244376e-08	8.55428807962902e-07	1771041_at	YOR152C
-3.18621110983789	-23.3777315392452	1.56557248895114e-08	8.55428807962902e-07	1778931_at	YJR096W
-2.55423906338278	-23.3387493096437	1.58592284150741e-08	8.62237055323034e-07	1774729_at	YBR241C
1.52657256122285	23.3201706667357	1.59572634419606e-08	8.63272152939334e-07	1770167_at	YGL253W
-2.1929751944559	-23.1762661825278	1.67401496113006e-08	9.01164310109816e-07	1776673_at	YNL036W
-1.87925251276528	-23.1320448849365	1.69893458784831e-08	9.08800407186412e-07	1772576_x_at	YAR020C
-1.77617201008373	-23.1216857416627	1.70483238903015e-08	9.08800407186412e-07	1772694_at	YKR067W
1.8188117455556	23.0774876394939	1.73025615636087e-08	9.17875693044251e-07	1777672_at	YOR051C
-2.54198607461972	-23.0358664474256	1.75458848160795e-08	9.26287097923267e-07	1778781_at	YOR185C
1.88054942109547	23.0065471509126	1.77196023941593e-08	9.30960648862369e-07	1774900_at	YAR028W
4.71930976011331	22.9728186697177	1.79218441487955e-08	9.32872096622165e-07	1776721_at	YHR094C
-1.82174150064142	-22.9720116538627	1.7926714887505e-08	9.32872096622165e-07	1778437_at	YDR085C
