""	"b1"	"b2"	"b3"	"c1"	"c2"	"c3"
"YJR113C"	7	3	1	6	5	9
"YLR416C"	0	0	0	0	1	0
"YPR131C"	3	5	3	2	1	2
"YLR029C"	142	212	155	54	60	91
"YMR155W"	3	5	7	3	2	5
"YNL180C"	16	10	11	17	32	30
"YGR164W"	0	0	0	0	0	0
"YOL106W"	0	0	0	0	0	0
"YIL140W"	8	8	8	11	10	10
"YIL171W-A"	0	0	0	0	0	1
"YDR272W"	6	8	8	12	12	20
"YDR114C"	0	0	0	1	0	0
"YOR238W"	1	1	2	1	5	2
"YPR077C"	0	0	0	0	0	0
"YKL142W"	2	7	4	9	9	22
"YLR139C"	5	6	4	3	3	3
"YNR044W"	3	6	3	3	4	6
"YPR009W"	7	6	2	5	2	4
"YHR032W"	5	12	13	4	5	6
"YDR429C"	43	38	31	16	21	22
"YGL079W"	2	3	0	1	4	3
"YNR031C"	15	17	12	6	11	20
"YHR084W"	14	8	9	5	2	8
"YOR004W"	6	4	7	1	4	2
"YMR086C-A"	0	0	2	0	1	0
"YMR233W"	2	2	1	2	2	0
"YMR244W"	0	0	0	2	3	3
"YLL010C"	7	4	1	3	3	6
"YNL188W"	4	9	5	4	1	2
"YKL156C-A"	0	0	0	0	0	0
"YNL104C"	56	67	69	85	114	127
"YIL005W"	11	16	8	6	5	5
"YOR365C"	0	3	2	4	1	3
"YNR030W"	9	14	11	9	16	7
"YBR265W"	4	7	5	4	5	9
"Q0055"	0	0	0	0	0	0
"YGL131C"	5	4	3	6	3	12
"YDL162C"	0	0	0	0	0	0
"YDR246W-A"	0	0	1	0	1	0
"YHR033W"	5	3	4	6	5	11
"YNR040W"	0	1	5	0	2	2
"YNR034W"	2	2	1	3	3	8
"YEL076C"	0	0	0	0	0	0
"YHL046W-A"	0	0	0	0	0	0
"YDL071C"	1	1	0	0	1	1
"YOR173W"	2	0	2	15	22	33
"YOR337W"	8	13	13	4	8	3
"YGL104C"	3	3	2	2	2	2
"YNL181W"	7	10	4	6	7	8
"YDR164C"	6	11	6	12	9	11
"YGR243W"	0	1	0	18	20	19
"YOR107W"	2	0	1	2	1	4
"YDR464W"	14	15	17	7	3	14
"YGR210C"	20	19	21	10	14	19
"YLR012C"	0	0	0	1	0	0
"YOR168W"	49	60	39	16	25	35
"YLR054C"	0	0	0	2	2	1
"YNL002C"	22	18	21	2	4	19
"YHR193C"	52	57	42	19	27	41
"YNL294C"	12	9	9	5	2	10
"YOR005C"	2	0	2	4	11	5
"YPR147C"	2	10	4	3	1	2
"YBR092C"	1	4	1	1	1	0
"YJL028W"	0	0	0	0	0	0
"YOR242C"	0	1	0	1	0	0
"YLR077W"	6	7	8	6	6	10
"YCR081W"	1	7	10	6	4	5
"YOR396C-A"	0	0	0	0	0	0
"YLR458W"	0	0	0	0	1	1
"YBL040C"	12	27	14	4	9	9
"YJR127C"	13	11	11	7	8	10
"YJL176C"	9	8	11	10	12	8
"YLR453C"	3	2	2	5	4	2
"YCR007C"	0	0	0	4	1	0
"YHR128W"	7	7	6	3	3	4
"YOR297C"	1	5	5	1	2	2
"YDR225W"	33	38	22	21	31	41
"YPR020W"	3	7	6	3	7	9
"YJR003C"	4	7	9	3	7	2
"YIL101C"	0	3	1	20	19	22
"YHR136C"	0	0	0	0	0	0
"YPR114W"	14	12	12	4	6	7
"YPL189W"	0	3	2	0	2	0
"YJL056C"	1	2	3	0	5	7
"YPR169W-A"	0	0	0	0	0	0
"YLR264C-A"	0	0	2	0	0	0
"YPL247C"	3	1	3	4	6	6
"YDR482C"	2	4	4	2	3	3
"YJL122W"	7	11	10	0	4	6
"YBL058W"	9	17	26	24	18	17
"YLL039C"	36	33	18	72	86	116
"YKL107W"	0	0	0	7	9	16
"YCL017C"	13	13	10	14	7	14
"YER085C"	0	0	0	0	0	0
"YMR186W"	240	345	261	223	296	387
"YCR065W"	2	12	8	7	5	2
"YOR388C"	1	3	1	21	45	52
"YLR002C"	12	11	6	2	2	6
"YFL045C"	51	59	32	14	19	30
"YPR091C"	5	11	5	7	7	15
"YOL083W"	1	1	0	5	17	21
"YLR307C-A"	0	0	0	10	7	9
"YDR366C"	0	1	0	0	0	0
"Q0065"	0	0	0	0	0	0
"YER190C-A"	0	0	0	0	0	0
"YDR545C-A"	0	0	0	0	0	0
"YNL020C"	3	8	3	3	5	4
"YGL125W"	35	32	25	15	21	19
"YKR038C"	8	16	12	5	3	5
"YDL215C"	10	8	6	49	60	69
"YLR354C"	70	93	62	56	58	78
"YCR022C"	0	0	0	0	0	0
"YFR008W"	1	2	2	3	2	7
"YDR284C"	8	15	9	5	4	6
"YFL013C"	4	1	9	5	5	11
"YKL051W"	12	9	6	5	5	7
"YPR174C"	1	5	1	1	1	3
"YMR091C"	5	21	9	4	3	8
"YJL143W"	15	17	7	8	4	9
"YDR112W"	0	0	0	0	0	0
"YGR057C"	2	0	1	4	1	3
"YKL194C"	5	7	10	1	6	4
"YLR308W"	0	0	0	0	0	0
"YBR065C"	2	5	2	3	5	3
"YMR029C"	7	6	12	7	5	11
"YHL042W"	0	0	2	1	4	0
"YPR121W"	4	3	2	4	5	3
"YNL068C"	5	12	10	5	5	11
"YLR156C-A"	0	0	0	0	0	0
"YGL157W"	4	11	1	1	1	1
"YGL178W"	6	3	2	8	12	3
"YMR148W"	3	2	1	2	1	3
"YML058W"	10	17	13	5	9	11
"YLR249W"	455	608	476	165	186	228
"YGR019W"	5	3	8	2	12	14
